#,Scheme Name,Net Asset Value,Outstanding Number of Units,Nav Per Unit,Sale Price per Unit,Repurchase Price/Unit,Date Valued
1,Umoja Fund,"380,429,787,331.8930","330,478,604.2184","1,151.1480","1,151.1480","1,139.6365",02-05-2025
2,Wekeza Maisha Fund,"22,071,871,349.1354","21,841,638.6891","1,010.5410","1,010.5410",990.3302,02-05-2025
3,Watoto Fund,"29,048,876,892.5347","38,902,692.0933",746.7061,746.7061,739.2390,02-05-2025
4,Jikimu Fund,"36,161,863,749.7646","194,658,704.3663",185.7706,185.7706,182.0552,02-05-2025
5,Liquid Fund,"1,629,814,083,145.7600","3,605,385,224.5118",452.0499,452.0499,452.0499,02-05-2025
6,Bond Fund,"868,433,827,454.8361","7,237,381,752.1235",119.9928,119.9928,119.9928,02-05-2025
7,Umoja Fund,"379,248,103,197.6310","330,558,062.7984","1,147.2965","1,147.2965","1,135.8235",30-04-2025
8,Wekeza Maisha Fund,"21,981,057,584.5368","21,787,640.8599","1,008.8774","1,008.8774",988.6998,30-04-2025
9,Watoto Fund,"28,961,705,371.2132","38,860,349.4194",745.2765,745.2765,737.8237,30-04-2025
10,Jikimu Fund,"36,034,863,761.5054","194,451,005.5612",185.3159,185.3159,181.6096,30-04-2025
11,Liquid Fund,"1,631,278,035,289.7500","3,610,683,885.9495",451.7920,451.7920,451.7920,30-04-2025
12,Bond Fund,"874,392,462,783.9670","7,230,903,902.9658",120.9244,120.9244,120.9244,30-04-2025
13,Umoja Fund,"378,809,460,659.8430","330,499,128.5290","1,146.1739","1,146.1739","1,134.7121",29-04-2025
14,Wekeza Maisha Fund,"21,951,151,779.2851","21,770,061.9265","1,008.3183","1,008.3183",988.1519,29-04-2025
15,Watoto Fund,"28,867,394,869.1011","38,756,695.1408",744.8363,744.8363,737.3880,29-04-2025
16,Jikimu Fund,"36,011,016,928.1564","194,384,856.3605",185.2563,185.2563,181.5512,29-04-2025
17,Liquid Fund,"1,629,712,743,565.7300","3,608,240,896.5381",451.6641,451.6641,451.6641,29-04-2025
18,Bond Fund,"873,899,872,191.8910","7,228,865,779.5126",120.8903,120.8903,120.8903,29-04-2025
19,Umoja Fund,"378,372,640,203.4410","330,564,856.0153","1,144.6245","1,144.6245","1,133.1783",28-04-2025
20,Wekeza Maisha Fund,"21,970,578,155.9148","21,798,330.5344","1,007.9019","1,007.9019",987.7438,28-04-2025
21,Watoto Fund,"28,681,952,533.7105","38,532,826.0423",744.3511,744.3511,736.9076,28-04-2025
22,Jikimu Fund,"35,880,851,147.7582","193,917,427.3919",185.0316,185.0316,181.3310,28-04-2025
23,Liquid Fund,"1,626,613,417,773.7400","3,602,403,276.2911",451.5356,451.5356,451.5356,28-04-2025
24,Bond Fund,"872,093,823,914.8630","7,215,955,844.6397",120.8563,120.8563,120.8563,28-04-2025
25,Umoja Fund,"378,220,858,061.0310","330,555,038.0884","1,144.1993","1,144.1993","1,132.7574",25-04-2025
26,Wekeza Maisha Fund,"21,928,894,758.1000","21,773,281.0102","1,007.1470","1,007.1470",987.0041,25-04-2025
27,Watoto Fund,"28,506,949,812.0959","38,325,489.2470",743.8118,743.8118,736.3736,25-04-2025
28,Jikimu Fund,"35,885,327,580.2860","194,070,956.3419",184.9083,184.9083,181.2101,25-04-2025
29,Liquid Fund,"1,621,347,188,665.4399","3,593,757,297.9461",451.1566,451.1566,451.1566,25-04-2025
30,Bond Fund,"870,365,837,512.2230","7,207,742,878.3885",120.7543,120.7543,120.7543,25-04-2025
31,Umoja Fund,"378,148,362,348.4150","330,532,630.3197","1,144.0576","1,144.0576","1,132.6170",24-04-2025
32,Wekeza Maisha Fund,"21,898,733,998.2517","21,748,770.8793","1,006.8952","1,006.8952",986.7573,24-04-2025
33,Watoto Fund,"28,429,413,798.6856","38,230,538.2534",743.6310,743.6310,736.1947,24-04-2025
34,Jikimu Fund,"35,822,470,093.5272","193,774,000.7349",184.8673,184.8673,181.1699,24-04-2025
35,Liquid Fund,"1,619,363,808,436.8701","3,590,376,030.5969",451.0290,451.0290,451.0290,24-04-2025
36,Bond Fund,"868,412,838,864.0610","7,193,599,894.7290",120.7202,120.7202,120.7202,24-04-2025
37,Umoja Fund,"378,238,273,831.2410","330,589,329.3961","1,144.1333","1,144.1333","1,132.6920",23-04-2025
38,Wekeza Maisha Fund,"21,868,165,591.5225","21,723,243.4996","1,006.6713","1,006.6713",986.5379,23-04-2025
39,Watoto Fund,"28,373,978,755.2457","38,162,744.2161",743.4994,743.4994,736.0644,23-04-2025
40,Jikimu Fund,"35,771,596,646.8956","193,511,518.0064",184.8551,184.8551,181.1580,23-04-2025
41,Liquid Fund,"1,616,691,280,383.0801","3,585,465,966.3437",450.9013,450.9013,450.9013,23-04-2025
42,Bond Fund,"868,224,684,286.6030","7,194,094,060.4444",120.6858,120.6858,120.6858,23-04-2025
43,Umoja Fund,"378,087,880,553.7400","330,495,646.1819","1,144.0026","1,144.0026","1,132.5626",22-04-2025
44,Wekeza Maisha Fund,"21,805,718,555.4118","21,665,422.9310","1,006.4756","1,006.4756",986.3460,22-04-2025
45,Watoto Fund,"28,298,068,171.2854","38,068,651.2814",743.3431,743.3431,735.9096,22-04-2025
46,Jikimu Fund,"35,766,604,744.3617","193,515,046.4987",184.8260,184.8260,181.1294,22-04-2025
47,Liquid Fund,"1,608,763,566,643.3601","3,568,879,724.0268",450.7755,450.7755,450.7755,22-04-2025
48,Bond Fund,"865,520,817,092.0310","7,173,696,098.8153",120.6520,120.6520,120.6520,22-04-2025
49,Umoja Fund,"376,663,697,273.9720","330,471,673.0764","1,139.7760","1,139.7760","1,128.3783",17-04-2025
